SKU;Titel;Handle;URL;Merk;Soort;Prijs incl;Van-prijs;Eenheid;Voorraad;Collecties;Afbeelding
915603;Bookwill - Digitale Hygro/Temperatuur meter - Zwart 60x35x15;bookwill-digitale-hygro-temperatuur-meter-zwart-60x35x15;https://rokersbenodigdheden.com/products/bookwill-digitale-hygro-temperatuur-meter-zwart-60x35x15;Bookwill;Knippers & Asbakken;15,00;;1 stuk;10;all|knippers-asbakken|merk-bookwill;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/915603.jpg?v=1778073354
915514;Bookwill - Humidor Vocht-element - 159x17x18mm - Zwart;bookwill-humidor-vocht-element-159x17x18mm-zwart;https://rokersbenodigdheden.com/products/bookwill-humidor-vocht-element-159x17x18mm-zwart;Bookwill;Knippers & Asbakken;3,95;;1 stuk;10;all|humidors|knippers-asbakken|merk-bookwill|sigaren|sigaren-etuis;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/915514_1_4.jpg?v=1778073354
915513;Bookwill - Humidor Vocht-element - 160x16x18mm - Zwart Oase;bookwill-humidor-vocht-element-160x16x18mm-zwart-oase;https://rokersbenodigdheden.com/products/bookwill-humidor-vocht-element-160x16x18mm-zwart-oase;Bookwill;Knippers & Asbakken;5,50;;1 stuk;10;all|humidors|knippers-asbakken|merk-bookwill|sigaren|sigaren-etuis;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/915513_1_16.jpg?v=1778073338
915499;Bookwill - Sigaar Houder / Standaard;bookwill-sigaar-houder-standaard;https://rokersbenodigdheden.com/products/bookwill-sigaar-houder-standaard;Bookwill;Knippers & Asbakken;8,50;;1 stuk;10;all|filters-houders|knippers-asbakken|merk-bookwill;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/915499_1_17.jpg?v=1778073338
426230;Bookwill - Sigaren-asbak - Bakelite - Zwart (15x15x3.5cm);bookwill-sigaren-asbak-bakelite-zwart-15x15x3-5cm;https://rokersbenodigdheden.com/products/bookwill-sigaren-asbak-bakelite-zwart-15x15x3-5cm;Bookwill;Knippers & Asbakken;12,95;;1 stuk;10;all|asbakken|knippers-asbakken|merk-bookwill|sigaren|sigaren-asbakken;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/bookwill_-_sigaren-asbak_-_bakelite_-_zwart_15x15x3_5cm.jpg?v=1778073429
910525;Bookwill - Sigarenboor - Set 3 maten - 7/10/14mm - Chrome;bookwill-sigarenboor-set-3-maten-7-10-14mm-chrome;https://rokersbenodigdheden.com/products/bookwill-sigarenboor-set-3-maten-7-10-14mm-chrome;Bookwill;Knippers & Asbakken;24,95;;1 stuk;10;all|knippers-asbakken|merk-bookwill|sigaren|sigarenboren;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/910525.jpg?v=1778073335
426408;Bookwill - Sigarenknipper (gesloten achterkant) - Zwart;bookwill-sigarenknipper-gesloten-achterkant-zwart;https://rokersbenodigdheden.com/products/bookwill-sigarenknipper-gesloten-achterkant-zwart;Bookwill;Knippers & Asbakken;3,50;;1 stuk;10;all|knippers-asbakken|merk-bookwill|sigaren|sigarenknippers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426408_-_totaal.jpg?v=1778073496
910112;Bookwill - Sigarenknipper - Double-Cut - Plastic - In Etui;bookwill-sigarenknipper-double-cut-plastic-in-etui;https://rokersbenodigdheden.com/products/bookwill-sigarenknipper-double-cut-plastic-in-etui;Bookwill;Knippers & Asbakken;4,50;;1 stuk;10;all|knippers-asbakken|merk-bookwill|sigaren|sigarenknippers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/910112_1_41.jpg?v=1778073334
910120;Bookwill - Sigarenknipper - Double-Cut - XL Ø32mm - Plastic;bookwill-sigarenknipper-double-cut-xl-32mm-plastic;https://rokersbenodigdheden.com/products/bookwill-sigarenknipper-double-cut-xl-32mm-plastic;Bookwill;Knippers & Asbakken;2,50;;1 stuk;10;all|knippers-asbakken|merk-bookwill|sigaren|sigarenknippers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/910120_1_22.jpg?v=1778073333
426410;Bookwill Humidor - 25 Cigars - Tobacco Leaf;bookwill-humidor-25-cigars-tobacco-leaf;https://rokersbenodigdheden.com/products/bookwill-humidor-25-cigars-tobacco-leaf;Bookwill;Knippers & Asbakken;138,50;;1 stuk;10;all|humidors|knippers-asbakken|merk-bookwill|sigaren|sigaren-etuis;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426410.jpg?v=1778073488
